,Mean Squared Error,Root Mean Squared Error,Mean Absolute Error,Median Absolute Error,Max Error,Explained Variance Score,R² Score,Mean Absolute Percentage Error
RandomForestRegressor_1,7.009570317854599,2.6475593133780024,2.0800684783942875,1.7468291224082213,9.932398447277281,0.7566138398764204,0.7564870751883375,30.059201591496826
XGBRegressor_2,4.212582795110947,2.0524577450244736,1.606541866000553,1.3549466464392887,7.427130792055447,0.8537004924984062,0.8536546020751348,20.293040824427013
LGBMRegressor_3,4.266214144204885,2.0654815768253383,1.6600812655387642,1.4067430311322964,7.172346947312043,0.8517950225397386,0.8517914455495209,22.083232167548424
CatBoostRegressor_4,5.2756835393154855,2.296885617377471,1.8174131758680123,1.538904045894327,8.310601303634503,0.8178182831280926,0.816722413673901,34.12263968996324
