Feature,Importance
feature_2,27.384533308718936
feature_13,21.955581697756678
feature_9,21.335609709603794
feature_11,10.725279133897464
feature_18,10.435584019763763
feature_17,0.8648888001963225
feature_12,0.6626546878364179
feature_4,0.6623793601035304
feature_19,0.6609936917482815
feature_8,0.6286695818423683
feature_3,0.6206804733619156
feature_15,0.5917205022815347
feature_14,0.5827216034584641
feature_10,0.5702628741795125
feature_7,0.49887296874011117
feature_6,0.4090858177849186
feature_5,0.4005264605777693
feature_1,0.3746364599057359
feature_16,0.3468109432247969
feature_0,0.2885079050177186
